id,title,author,publisher,quantity,created_at,category_id
1,The Hunger Games,Suzanne Collins,Personal,75,2024-06-05 21:02:54,6
2,Harry Potter and the Philosopher's Stone,"J.K. Rowling, Mary GrandPré",Personal,23,2024-06-05 21:02:54,3
3,Twilight,Stephenie Meyer,Personal,51,2024-06-05 21:02:54,12
4,To Kill a Mockingbird,Harper Lee,Personal,76,2024-06-05 21:02:54,8
5,The Great Gatsby,F. Scott Fitzgerald,Personal,21,2024-06-05 21:02:54,5
6,The Fault in Our Stars,John Green,Personal,43,2024-06-05 21:02:54,11
7,The Hobbit or There and Back Again,J.R.R. Tolkien,Personal,24,2024-06-05 21:02:54,2
8,The Catcher in the Rye,J.D. Salinger,Personal,52,2024-06-05 21:02:54,4
9,Angels & Demons ,Dan Brown,Personal,61,2024-06-05 21:02:54,8
10,Pride and Prejudice,Jane Austen,Personal,39,2024-06-05 21:02:54,7
11,The Kite Runner ,Khaled Hosseini,Personal,67,2024-06-05 21:02:54,2
12,Divergent,Veronica Roth,Personal,23,2024-06-05 21:02:54,10
13,Nineteen Eighty-Four,"George Orwell, Erich Fromm, Celâl Üster",Personal,16,2024-06-05 21:02:54,8
14,Animal Farm: A Fairy Story,George Orwell,Personal,30,2024-06-05 21:02:54,10
15,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",Personal,27,2024-06-05 21:02:54,5
16,Män som hatar kvinnor,"Stieg Larsson, Reg Keeland",Personal,25,2024-06-05 21:02:54,6
17,Catching Fire,Suzanne Collins,Personal,50,2024-06-05 21:02:54,12
18,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré, Rufus Beck",Personal,25,2024-06-05 21:02:54,1
19, The Fellowship of the Ring,J.R.R. Tolkien,Personal,15,2024-06-05 21:02:54,5
20,Mockingjay,Suzanne Collins,Personal,67,2024-06-05 21:02:54,11
21,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré",Personal,75,2024-06-05 21:02:54,11
22,The Lovely Bones,Alice Sebold,Personal,77,2024-06-05 21:02:54,1
23,Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré",Personal,38,2024-06-05 21:02:54,5
24,Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré",Personal,74,2024-06-05 21:02:54,2
25,Harry Potter and the Deathly Hallows,"J.K. Rowling, Mary GrandPré",Personal,25,2024-06-05 21:02:54,2
